Last name;First name;Excluded;DHCJ;Lisiak;Schuppener
Monville;Albert de;;;;
Mora;Félix;;;;
Morand;Jean Claude Ignace;;;;
Moretus;Théodore;;x;;x
Moulin;Hubert;;;;
Mourgues;Michel;;;;
Muehlwentzl;Ignace;;;;
Muettinger;Louis;;;;
Mundbrot;Gauthier;;x;;
Mussara;Jean Francois;;;;
Nakcyanowicz;Jacques;;;x;
Negrone;Jules;x;;;
Neuhauser;Bernard;;;;
Nicolas;Pierre;;x;;
Nieremberg;Jean Eusèbe;;;;
Nivelle;Jacques;;;;
Noceto;Jean-Baptiste;;;;
Noel;Etienne;;x;;
Noel;Francois;;x;;
Nyel;Armand Jean Xavier;x;;;
Obermayr;Wolfgang;;;;
Oliveira;Bernard;;;;
Opffermann;Luc;;;;
Pachner;François;;;;
Pajot;Charles;;;;
Pala;Sauveur;;;;
Pallu;Jean;;;;
Palmieri;Hippolyte;;;;
Panigai;Barthélemy;;;;
Papazzoni;Jean-Baptiste;;;;
Papon;Jean;;;;
Para;François;;;;
Pardies;Ignace Gaston;;x;;
Parrenin;Dominique;;;;
Paulian, Paulhan;Aimé Henri;;;;
Paur;André;;x;;
Pazmani;Pierre;x;;;
Peier;Roch;;;;
Pennequin;Pierre;;;;
Perbegg;Joseph;;;;
Percheron;Antoine Nicolas;;;;
Pereyra;André;;x;;
Perottoni;Jean Dmonique;;;;
Perret;Josse;;;;
Pers;Jean-Baptiste;;;;
Pessier;Jean le;;;;
Petau;Denis;;x;;
Petrei;Jean François;;x;;
Pexenfelder;Michel;;;;
Pezenas;Esprit;;x;;
Pfeffer;Henri;;;;
Pfriem;Joseph;;;;
Philippi;Henri (Prescensis?);;;;x
Pichelmayer;Paul;;;;
Pickel;Ignace;;x;;
Pierre;François de;;;;
Piganelli;Ambroise;;;;
Pilgram;Antoine;;x;;
Pineda;Jean de;x;;;
Piramowicz;Grégoire;;;;
Planck;Jean-Baptiste;;;;
Plata;François Marie;;;;
Pleyer;Joseph;;;;
Poczobut;Martin Odlanicki;;x;x;
Poda von Neuhaus;Nicolas;;x;;
Pohl;Joseph;;;;
Polansky;Népomucène;;;;
Polansky;Thaddée;;;;
Pomey;François;;x;;
Poszakowski;Jean;;;;
Pothier;Antoine Louis;;;;
Preckenfeldt;François;;;;
Préville;Louis Joseph de;;;;
Puchberger;Martin;;;;
Pusch;Sigismond;;x;;
Querck;Ignace;;;;
Rabuel;Claude;;;;
Radonvilliers;Claude François Lysarde de;x;;;
Ramazzini;Antoine;x;;;
Rebecque;Joseph Ignace;;;;
Recalde;Barthélemy de;x;;;
Rechlinger or Rehlinger;Frédéric;;;;
Rechtenberg;Wolfgang;;;;
Recupito;Jules César;;;;
Redlhamer;Joseph;;;;
Regalino;Jean-Baptiste;;;;
Reggio;Michel-Ange;;;;
Regis;Jean-Baptiste;;x;;
Regnault;Noël;;;;
Reichenau;Joseph;;;;
Reihing;Conrad;;;;
Reihing;Jacques;;;;
Reindel;Rupert;;;;
Reinzer;François;;;;
Reuss;George;;;;
Reviczki;Ignace;x;;;
Rho, Ro;Jacques (Lo-ya-kou Wei chao);;x;;
Ribeyro;François;;;;
Riccati;Vincent;;x;;
Ricci;Matthieu;;x;;
Richard;Claude;;x;;
Richaud;Jean;;x;;
Richtenburg;Joachimg von;;;;
Richter;Ferdinand;;;;
Riedthaler;Mathias;;;;
Rieger;Chrétien;;x;;
Riezinger;Colman;;;;
Riston;Jean;;;;
Rivoire;Antoine;;;;
Roberti;Jean;;x;;
Roche;Jean de la;;;;
Rochette;Louis;;;;
Rodrigues;François;;x;;
Roehr;Jean;;;;
Rogacci;Benoîz;x;;;
Rogalinski;Pierre;;x;x;
Roschmann;Christophe;;;;
Rosciszewski;Adalbert;x;;;
Rosenthal;Jean;;;;
Rost;Thomas;;;;
Rostan;Alexandre Pancrace;;;x;
Rotenhan;Marquard von;;;;
Roth;Charles;;;;
Rouillé;Pierre Julien;;;;
Roys;François-Xavier;;;;
Rzaczynski;Gabriel;;;;
Sachheri;Jérôme;;x;;
Sacré;Servais;;;;
Sadry;Jean;;;;
Sagner;Gaspar;;;;x
Saheer;Ferdinand;;;;
Sainovics;Jean Népomucène;;x;;
Saint-Bonnet;Jean de;;;;
Saint-Rigaud;François de;;;;
Saint-Vincent;Grégoire de;;x;;
Salas;Jean de;;x;;
Salino;Bernardin;;;;
Salmoni;Pierre Marie;;;;
Salomoni;Pierre Marie;;;;
Sanadon;Noël Etienne;;;;
Sanchez de Luna;Janvier;;;;
Santi;Charles Antoine;;;;
Sanvitale;Fréderic;;;;
Saphorius;Arnauld;;;;
Sarasa;Alphonse Antoine de;;x;;
Sarbiewski;Mathias Casimir;;;;
Sarrabat;Nicolas;;;;
Sartolo;Bernard;;;;
Sattelberger;Henri;;;;
Saur;Georges;;;;
Sauvage;Henri Michel;;x;;
Savastano;François Eulalius;;;;
Savignano;Jérôme;;;;
Savoy;Gaspar;;;;
Scanelli;César;;;;
Schaal;Joseph;;;;
Schaffer;André;;;;
Schall von Bell;Jean Adam;;x;;
Scheiner;Christophe;;x;;
Scherffer;Charles;;x;;
Schiffermiller;Ignace;;x;;
Schmacker;Théodore;;;;
Schmid;Joseph;;;;
Schmidt;Etienne;;;;x
Schmidt;Philippe Antoine;;;;
Schmitz;Josephe;;;;
Schoder;Martin;;;;
Schoenberger;George;;;;x
Schoettl;Grégoire;;;;
Schoettl;Jean-Baptiste;;;;
Schott;André;;;;
Schott;Gaspar;;x;;
Schramm;Jacques;x;;;
Schreck;Wolfgang;x;;;
Schreiber;Joseph;;;;
Schuch;François;;;;
Schuster;Frédéric;;;;
Schwab;Jean;;;;
Schwanasi;Jean Baptiste;;;;
Seiringer;Martin;x;;;
Seitz;Ignace;;;;
Semmes;Joseph;;;;
Semple;Hugues;;;;
Sette;Nicolas;;;;
Seybold;Joseph;;;;
Siekierzynski;Thomas;;;x;
Silberhorn;Christophe;;;;
Simonelli;Jacques Philippe;;x;;
Simunich;Jean-Baptiste;;x;;
Siserus;Sigismond;;;;
Sivieri;Hippolyte;;;;
Slaughter;Edouard;;;;
Slawiczek;Charles;;x;;
Slesina;Jean;;;;
Smogulecki;Nicolas (or Smogolenski);;x;x;
Soares;Diego;;x;;
Socher;Joseph;;;;
Solennet;Jean;;;;
Solski;Stanislas;;x;x;
Sonner;Joseph;;;;
Souciet;Etienne;;;;
Spedalieri;Melchior;;;;
Spengler;Joseph;;;;
Spernezzati;Augustin;x;;;
Spinelli;Dominique Ignace;;;;
Spinola;le Bienheureux Charles;;x;;
Sslayer;Benjamin;;;;
Stadler;Daniel;;;;
Stadler;François de Sales;;;;
Stafford, Lee;Ignace;;;;
Stain;Charles;;;;
Stainer;Sébastien;;;;
Stainniger;Joseph;;;;
Stansel;Valentin;;;;x
Stattler;Benoît;;x;;
Staudacher;Nicolas;;;;
Steborius;Christophe;;;;
Steindel;François-Xavier;;;;
Steinmeyer;Philippe;;;;
Stepling;Joseph;;x;;
Sterr;Gaspar;;;;
Storer;François;;x;;
Streitt;Thomas;;;;
Strobl;François;;;;
Stromair;Balthasar;;;;
Suarez;Bonaventure;;;;
Sudan;Claude;;;;
Swietecki;Jacques;;;x;
Szekeli;François;;;;
Szembek;Frédéric;;;;
Szendrei;Joseph;;;;
Szent-Ivany;Martin;;x;;
Sztancsak;Jean;;;;
Tacquet;André;;x;;
Tamburelli;Darius;;;;
Tanner;Mathias;;;;
Taucher;François;;;;
Telles;Antoine;;;;
Tellier;Jean;x;;;
Terentius, Terrenzius;Jean;;x;;
Termeyer;Raymond Marie;;x;;
Terreros y Pando;Etienne;;x;;
Tessaneck;Jean;;;;x
Texeira;Joseph;;;;
Thanner;Jean;;;;
Thebas;Jacques;;;;
Thomas;Antoine;;x;;
Thonhauser;Théphile;;;;
Thullner;Jean-Baptiste;;;;
Tichy;Martin;;;;
Tiefenthaller;Joseph;;x;;
Tipaldi;Jean André;;;;
Tirnberger;Charles;;x;;
Tolomas;Charles Pierre Xavier;;;;
Tortosa;François;;;;
Tosch;Charles;;;;
Tournemine;René Joseph de;;;;
Tournu;Jean Antoine;;;;
Traber;Zacharie;;;;
Trembloy;Jean-Baptiste;;;;
Trémoille;Antoine de la;;;;
Trigault;Nicolas;;;;
Troili;Dominique;;;;
Trotta;Jean-Baptiste;;;;
Trotyanne;François;;;;
Truchses;Eusèbe;;;;
Tulawski;Joseph;;;;
Tullensis;Jean Gérard;;;;
Turotzi;Ladislas;;;;
Tylkowski;Adalbert;;x;x;
Udri;Pierre;;;;
Ulloa;Pierre;;;;
Unterrichter;Joseph;;;;
Urigoitia;Jean;x;;;
Ursis;Sabbatinus de;;;;
Vagnoni;Alphonse;;x;;
Vaillant de Gueslis;François;x;;;
Vallat;Jean;x;;;
Valois;Yves;;;;
Valtrini;Jean Antoine;;;;
Vanni;Jean François;;;;
